address,eth_balance,total_txs,sent_txs,received_txs,sent_to_contract_txs,received_from_contract_txs,external_txs,internal_txs
0x0141dc8db270c642191b686abdd2c6e33699ba14,3.5246256561235634,3,3,0,3,0,3,0
0x014227812eb5a7ecf6fa1fc8ae1e0b965e494d96,1.8030830709845e-05,2,1,1,1,0,2,0
0x01441298e3f08e980361614275574352eb543698,7.74816084e-07,1,0,1,0,0,1,0
0x01441f809a807422641f59afcc18e22eaf7200d6,0.8245386244387162,1,1,0,1,0,1,0
0x014435b1e39945cf4f5f0c3cbb5833195a95cc9b,722.8959916271806,2,2,0,0,0,2,0
0x0144e4908854532b2d23b78750374b3ced0270f0,2.680537587e-06,1,0,1,0,0,1,0
0x014523f2a626f0e3dbc241b8e9a4c14c507a6360,0.14438854852923494,23,23,0,23,0,23,0
0x0147f76d6c44c86add5c5327a97e82fd8aae2821,0.04098075103448835,3,3,0,3,0,3,0
0x014a98e818121a8ce62ec3fb7be4a53b2831b6f0,1.3828274774e-05,4,4,0,2,0,4,0
0x014f6e0c196e594a0c8a637a8ded924e0ae32df4,1.833472746e-06,1,1,0,0,0,1,0
0x0150441ae85a26164153f083b1c73f31644afb3d,1.866924066e-06,1,1,0,0,0,1,0
0x0150d2d989fa1fb042e1c6193a19d122152af7c3,9.922150430538e-06,1,1,0,1,0,1,0
0x0153083071df9f53891f2282e777558003508c0e,0.0,2,1,1,0,0,2,0
0x01536dbc0dc6715e886f4dff62adf2a9937b8ffb,0.0,2,1,1,0,0,2,0
0x0154a78df8a92ff1098f14a72814d746dbca2a8a,1.73e-05,1,0,1,0,0,1,0
0x0156ef7e5923098d00ca1bee17e187f36aee608b,8.2966523440698e-05,1,1,0,1,0,1,0
0x0159673fba07896e4a3557a895ead631e2db2086,1.1747914815e-05,2,1,1,0,0,2,0
0x015d140a896ca3c63dcbc73ab0354b4bb7248f59,0.0,1,0,1,0,0,1,0
0x0160c82362a053e23fe763e36c1869c4b768ee7e,0.004793337336110245,1,1,0,1,0,1,0
0x01622dfb33238ddfccfb6bfad90fc34816d0223c,9.8897064e-07,1,1,0,0,0,1,0
0x0163ddb773ef5281b6893122b2881cc795794cc5,0.004799994801398074,1,1,0,0,0,1,0
0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,17.64943417531265,15,7,8,0,0,15,0
0x0168d103836cd2ca39de2f3b47b381fb359bab45,1.9508349e-07,1,1,0,0,0,1,0
0x0169d065131c2a0697253897eb424accdf9936dc,0.2867694129975706,1,1,0,1,0,1,0
0x016c0425b7affe1de0e00d155358f1096ce7227d,0.0001274726375928,1,1,0,1,0,1,0
0x016c5487a282a35f1957edc62db4f76b8e442244,0.0,3,3,0,3,0,3,0
0x016cce18dc3499890a0ebefe5b77b28664450849,78.90828802733773,9,3,6,0,0,9,0
0x0170e555f6da503ba95602d9e82ad46ff90483a0,0.01,2,2,0,2,0,2,0
0x017303160d407e56f66af81dd4fbc99311999a70,0.01395845097458324,1,1,0,1,0,1,0
0x01773abb274cc8821452ea69660c279ac31e5654,5.92546479e-07,1,0,1,0,0,1,0
0x0178070d088c235e1dc2696d257f90b3ded475a3,57.278369688752036,27,0,27,0,0,27,0
0x0183645e27c363ed2d1a3e8b036b0877d7882f52,0.004807385704702368,1,1,0,0,0,1,0
0x0183671adf1b26b5c30bcd5d7d8ae7db498e5f02,10.0,1,0,1,0,0,1,0
0x0184a4d5c7192d91b49e2c40788f5355c5507da9,2.408733096e-06,2,1,1,0,0,2,0
0x01874774813db3ae55f8423db3110c5cc75885cf,7.132558533e-06,2,2,0,2,0,2,0
0x01878421aa440937f19c4dfd479ab431ff5885cf,1.900250879582e-06,2,1,1,1,0,2,0
0x0187db3ef2922937c316512607444439a920a68f,0.3666798520497571,3,3,0,3,0,3,0
0x018a18cf3041d876f489876a3c384ea7febd8a53,0.00398774056324709,2,1,1,1,0,2,0
0x018ab6a86011dcab24d3d5a474c3c1edb0f1f9aa,0.00613694,1,1,0,0,0,1,0
0x018dd3a0dd7f213cc822076b3800816d3ce1ed86,0.0,1,0,1,0,0,1,0
0x01912e3ff9db4f523683c650315a50cd06de4d3a,0.0,1,1,0,0,0,1,0
0x0196d707723b5773a7e90b8ba909dfb8779f37cf,0.000390221274969208,1,1,0,0,0,1,0
0x01a30bab704bb7021b60b1fac1809e44f2170535,1.27895607e-06,1,1,0,0,0,1,0
0x01a41f643724b8e96f4844b3677f915f21106b79,0.0,2,2,0,2,0,2,0
0x01a91289bf39d6cb7738e632d5cdbf55a04e8936,0.002770140213955146,2,1,1,0,0,2,0
0x01aadcd1b8247c1764e4bc34c5f588b0d4026efe,1.9767532850146319,1,1,0,1,0,1,0
0x01b0d1dd8302374403b5f6697bb4f5992f1c75a3,0.11378233911939145,5,5,0,5,0,5,0
0x01b81f9214ce8a1302dfa57122d649a5d46cd9ec,0.000193417885421589,1,1,0,1,0,1,0
0x01b9deac7324e8e7312f2b1013ed6d14976d0034,0.18327613896029862,1,1,0,1,0,1,0
0x01c215e646c41ea78946e6f8110112ec2f8970fb,0.17673119780310606,1,0,1,0,0,1,0
0x01c36481ee6a13c2cf4d217a7d3ee6be57ae5977,0.000176403159309842,1,1,0,1,0,1,0
0x01c60f5ba0f9ddfeeb60c437feb7921be4aeb8c8,1.5061619415579e-05,1,1,0,0,0,1,0
0x01c782cb0ee8843ccec514cbbe695e618099a15a,0.000464445983571894,1,1,0,1,0,1,0
0x01caf36a394d069611026af6785841b1756f4727,1.9633098880675e-05,2,1,1,1,0,2,0
0x01cbb925ae8747466a11f278ddcaf11f70203389,0.000200826375924221,1,1,0,0,0,1,0
0x01cc4b306efb22e25b813d8f4481de575c64db29,0.002896722941284543,1,1,0,0,0,1,0
0x01cd6ece857ccc90d66edfb3e57fdc5adaad1412,0.0,3,0,3,0,0,3,0
0x01d092d58864feed89c026eb0c67575feda1e7ce,472.36214721566427,2,0,2,0,0,2,0
0x01d09f117ad4863e7a0b3195fbe7f9332ead67b9,0.008771673869673358,3,3,0,3,0,3,0
0x01d154c32f8495e1e1b9095e3f2059c904541c5d,0.004642178035586,1,1,0,0,0,1,0
0x01d2c8a07e1259fffe66ed8687f97611d9d945dc,0.0,3,3,0,3,0,3,0
0x01d31c9239692382c94091e32476e71ad43246cf,8.68979354579e-07,1,0,1,0,0,1,0
0x01d37a36220d52108ae6d453fe6cd80af2906376,2.4008040883853e-05,2,0,2,0,0,2,0
0x01d3a0ea1d3433a05d840b4dbcaafeaace7ef0f0,2.384383533e-06,1,1,0,1,0,1,0
0x01d6f3af1a4cebd1df55a6456a09eb668f96888e,1.050786555e-06,1,1,0,0,0,1,0
0x01d9d6e3b1ea192a4b8ca85b8ea945260f74bb2c,0.000498229131397172,2,1,1,1,0,2,0
0x01dcf61afbac00241f9ef4c74d38f93a7d257d4f,0.004404,1,0,1,0,0,1,0
0x01dd72ac0a3a9188b6559f5077326047ce5c50a6,0.06758807441218403,1,0,1,0,0,1,0
0x01dee20ba14f4bd858f416a58555612f97bff4b9,0.000104059478759408,1,1,0,0,0,1,0
